INDEX,ZIP,START_TIME,LATITUDE,LONGITUDE,DISTANCE_TO_FREEWAY,Elevation,SOUND_SCORE,NEAREST_ROAD,AVG_DB
62,92103,03:28,32.7435049,-117.1507286,0.269374012,89.86928558,70,24.83685281,63
63,92103,03:40,32.7464759,-117.1804811,0.134687006,65.84486389,68,23.7097609,58
64,92103,03:51,32.7422959,-117.1635606,0.404061018,87.71015167,67,24.67366128,66
65,92103,04:00,32.7537235,-117.1836564,0.471404521,81.59513092,72,24.2243409,55
66,92103,11:57,32.750363,-117.152427,0,93.42264557,67,30.543816,68
67,92103,12:04,32.7478062,-117.1472935,0.538748024,92.89219666,68,24.85540767,60
68,92103,12:08,32.7518739,-117.1453405,0.606091527,105.5327988,69,24.37739251,57
69,92103,12:26,32.7513864,-117.1653527,0.404061018,90.06314087,68,24.77311213,61
70,92103,12:13,32.7549148,-117.1552204,0,81.76334381,70,17.18294205,58
71,92103,12:31,32.7510018,-117.1766101,0.538748024,85.49829865,71,18.16840937,60
72,92103,12:21,32.749587,-117.157745,0.067343503,88.62818909,63,29.31020178,65
73,92103,12:48,32.7351458,-117.1600537,0.202030509,86.67295837,63,24.33230157,68
74,92103,12:57,32.7374661,-117.1607283,0.202030509,86.48196411,65,21.05686285,75
75,92103,01:07,32.7493142,-117.1526486,0.067343503,92.6413269,66,15.40163577,64
76,92103,12:52,32.7341152,-117.1615388,0.336717515,83.04619598,65,29.32648172,62
77,92103,12:38,32.7430378,-117.176725,0.134687006,63.99068832,68,16.5920616,65
78,92104,01:14,32.7539175,-117.1378038,0.808122036,102.7169952,71,14.77306561,65
79,92104,01:20,32.7414842,-117.1432495,0.875465539,66.44580078,72,44.00366722,69
80,92104,01:26,32.7494448,-117.1335298,0.606091527,110.450943,69,25.57691557,62
81,92104,01:53,32.7319815,-117.1207074,0.471404521,86.35836029,74,15.62785382,56
82,92104,01:32,32.7467822,-117.1439848,0.875465539,94.12738037,71,23.89124847,56
83,92104,02:08,32.754398,-117.12743,0.067343503,112.8065338,64,27.29541284,66
84,92104,01:59,32.7357895,-117.1159275,0.134687006,90.00917053,67,22.92845499,59
85,92104,02:04,32.747584,-117.1189565,0,106.9433441,66,24.09462258,74
86,92104,02:21,32.732652,-117.1181796,0.336717515,92.12773895,70,19.34746639,62
87,92104,03:25,32.7061658,-117.1248081,0.269374012,24.40843201,69,40.00538439,70
88,92104,01:47,32.7461531,-117.1257629,0.202030509,107.3489075,68,19.88202356,67
89,92104,02:17,32.7406175,-117.1242922,0.336717515,100.5246124,70,22.66946165,65
90,92104,01:39,32.742424,-117.1408828,1.077496048,87.33386993,74,25.61605374,60
91,92104,02:40,32.7544846,-117.1336217,0.538748024,117.0140686,67,22.30108598,63
92,92104,02:26,32.740894,-117.118969,0.067343503,97.1852417,67,23.7881744,63
93,92104,02:33,32.75676,-117.121872,0.134687006,119.0857391,67,20.71542094,65
94,92104,03:13,32.7291402,-117.1313239,1.077496048,89.09621429,71,19.75279001,58
95,92104,02:47,32.7467822,-117.1439848,0.875465539,94.12738037,71,23.89124847,63
96,92104,02:51,32.7414325,-117.1428589,0.875465539,77.25211334,72,25.24120156,63
97,92104,02:59,32.7496145,-117.1297383,0.404061018,108.3635025,66,16.77127639,73
98,92104,03:10,32.7298338,-117.1276472,0.808122036,90.66798401,71,18.11651993,64
99,92105,03:39,32.7563508,-117.1053611,0.067343503,113.8179779,68,21.57411581,56
100,92105,11:55,32.7486729,-117.092584,1.077496048,107.1881866,67,23.49576925,69
101,92105,03:44,32.7567962,-117.1132847,0.336717515,118.5172729,68,21.45992745,68
102,92105,12:59,32.722702,-117.081383,0,75.11534119,69,1.983449106,66
103,92105,12:26,32.7424576,-117.0686742,0.67343503,129.7274323,81,16.44962299,56
104,92105,03:49,32.7528671,-117.1109636,0.067343503,113.8350067,64,24.37120686,65
105,92105,12:33,32.7285291,-117.079753,0.269374012,86.70594788,73,15.12941879,66
106,92105,12:45,32.7508036,-117.0786625,1.481557065,108.4022827,74,15.06896097,72
